('episode:', 9000, ' /move_cnt:', 2325, ' / rnd:', 2301, ' / miss:', 4, ' / win:', 96, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 2.3776396288227137), (u'average_loss', 0.22098395465045936)], ' / epsilon:', 0.99032311)
('episode:', 9100, ' /move_cnt:', 2554, ' / rnd:', 2531, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 2.4130996664835385), (u'average_loss', 0.19942927007906558)], ' / epsilon:', 0.99020791)
('episode:', 9200, ' /move_cnt:', 2273, ' / rnd:', 2247, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 2.6863385211021646), (u'average_loss', 0.22559543612602917)], ' / epsilon:', 0.9901054)
('episode:', 9300, ' /move_cnt:', 2448, ' / rnd:', 2431, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 2.7902897726341216), (u'average_loss', 0.2808884867135944)], ' / epsilon:', 0.98999515)
('episode:', 9400, ' /move_cnt:', 2306, ' / rnd:', 2287, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 3.173151540894185), (u'average_loss', 0.3120799819763672)], ' / epsilon:', 0.98989165)
('episode:', 9500, ' /move_cnt:', 2237, ' / rnd:', 2220, ' / miss:', 4, ' / win:', 96, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 3.147157843637291), (u'average_loss', 0.44155477442065044)], ' / epsilon:', 0.98978419)
('episode:', 9600, ' /move_cnt:', 2200, ' / rnd:', 2170, ' / miss:', 7, ' / win:', 93, ' / p1Winner:', 56, ' / statistics:', [(u'average_q', 3.45107919090607), (u'average_loss', 0.4000698234046021)], ' / epsilon:', 0.98969131)
('episode:', 9700, ' /move_cnt:', 2409, ' / rnd:', 2385, ' / miss:', 4, ' / win:', 96, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 3.588088205038702), (u'average_loss', 0.5531932597877094)], ' / epsilon:', 0.98957782)
('episode:', 9800, ' /move_cnt:', 2324, ' / rnd:', 2299, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 56, ' / statistics:', [(u'average_q', 5.468815792224944), (u'average_loss', 0.7061899568721739)], ' / epsilon:', 0.98947711)
('episode:', 9900, ' /move_cnt:', 2369, ' / rnd:', 2345, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 6.037230191892253), (u'average_loss', 0.9985466261959001)], ' / epsilon:', 0.98937001)
